invoice_num;salesman_id;market;quantity;value;customer;fv_date;surname;value_up;rebate_value;price_per_unit
1001152;18;GE;7500.0;9005.12;BA125;12.01.2024;Odpowied;9725.529600000002;9005.12;1.2006826666666668
1001154;12;GE;8200.0;9844.88;BA118;22.01.2024;Szybki;10632.4704;9844.88;1.2005951219512194
1001157;18;GE;6500.0;11712.42;AA088;25.01.2024;Odpowied;12649.413600000002;11712.42;1.8019107692307692
1001159;18;GE;10300.0;19574.55;AC098;02.02.2024;Odpowied;21140.514;17617.095;1.9004417475728155
1001161;18;GE;6900.0;11734.05;AD104;12.02.2024;Odpowied;12672.774;11734.05;1.700586956521739
1001164;12;GE;12000.0;14410.85;BA138;15.02.2024;Szybki;15563.718;12969.765000000001;1.2009041666666667
1001166;12;GE;12300.0;25832.22;AF105;27.02.2024;Szybki;27898.7976;23248.998000000003;2.100180487804878
1001169;12;GE;10800.0;20526.42;AG222;03.03.2024;Szybki;22168.5336;18473.778;1.9005944444444443
1001171;18;GE;7500.0;13521.88;BA118;11.03.2024;Odpowied;14603.6304;13521.88;1.8029173333333333
1001174;18;GE;6900.0;11730.14;AH111;16.03.2024;Odpowied;12668.5512;11730.14;1.7000202898550725
1000452;22;PL;8000.0;47869.22;AA125;18.01.2024;Kowalski;51698.757600000004;47869.22;5.9836525
1000454;22;PL;5500.0;48107.58;BA236;22.01.2024;Kowalski;51956.186400000006;48107.58;8.746832727272727
1000457;22;PL;10000.0;59884.95;AA185;25.01.2024;Kowalski;64675.746;59884.95;5.9884949999999995
1000459;22;PL;12500.0;69120.84;AM101;01.02.2024;Kowalski;74650.50720000001;62208.756;5.5296672
1000461;22;PL;6000.0;52634.45;AN202;15.02.2024;Kowalski;56845.206;52634.45;8.772408333333333
1000464;22;PL;3500.0;33838.32;BA144;22.02.2024;Kowalski;36545.3856;33838.32;9.668091428571428
1000466;22;PL;8200.0;52814.28;BA098;28.02.2024;Kowalski;57039.4224;52814.28;6.440765853658537
1000469;22;PL;11800.0;65137.99;AC189;12.03.2024;Kowalski;70349.0292;58624.191;5.520168644067796
1000471;22;PL;7500.0;58673.25;AD585;17.03.2024;Kowalski;63367.11;58673.25;7.3500625
1002104;14;US;8000.0;10800.5;BB212;19.01.2024;Zwinna;11664.54;10800.5;1.3500625
1002201;14;US;5500.0;7975.8;CA108;23.01.2024;Zwinna;8613.864000000001;7975.8;1.4501454545454546
1002285;14;US;10000.0;13500.4;CA058;26.02.2024;Zwinna;14580.432;13500.4;1.35004
1002305;14;US;12500.0;19375.7;BB028;01.02.2024;Zwinna;20925.756;17438.13;1.550056
1002388;14;US;6000.0;10500.8;BB301;15.02.2024;Zwinna;11340.864;10500.8;1.7501333333333333
1002420;14;US;3500.0;5775.5;CA058;22.02.2024;Zwinna;6237.54;5775.5;1.6501428571428571
1002438;14;US;8200.0;15170.6;CA042;28.02.2024;Zwinna;16384.248000000003;15170.6;1.8500731707317073
1002459;14;US;11800.0;25370.7;BB101;12.03.2024;Zwinna;27400.356000000003;22833.63;2.1500593220338984
1002488;14;US;7500.0;17625.5;BB055;17.03.2024;Zwinna;19035.54;17625.5;2.3500666666666667
1002501;14;US;6500.0;14625.8;BB078;24.03.2024;Zwinna;15795.864;14625.8;2.2501230769230767
